"dates","means","Low","High","Type","country"
2020-03-09,0.61010325287766,0.0617222170351835,1.30180212231577,"No misidentification","hongkong"
2020-03-10,0.157194028998266,5.86278963886216e-05,0.451275559199791,"Error 2","hongkong"
2020-03-10,0.849788518819327,0.233681572970052,1.61667816409337,"Error 1","hongkong"
2020-03-10,0.85044375090832,0.205290336666412,1.60397382190413,"No misidentification","hongkong"
2020-03-11,0.274798356423411,0.00858013901071142,0.657629592507895,"Error 2","hongkong"
2020-03-11,0.964160988025256,0.323714639232717,1.68898239039508,"No misidentification","hongkong"
2020-03-11,1.22491166462978,0.513545060003719,2.09232919011617,"Error 1","hongkong"
2020-03-12,0.112700726334228,9.17000550359516e-06,0.327435810121031,"Error 1","hongkong"
2020-03-12,0.113986036852992,1.6690907604755e-05,0.329622803784926,"Error 2","hongkong"
2020-03-12,0.222828577999798,0.00471987732561355,0.530907828899599,"No misidentification","hongkong"
2020-03-13,0.0891943920697791,4.5211778471374e-05,0.252889619719479,"Error 2","hongkong"
2020-03-13,0.467637011928431,0.112883843892495,0.881983699081766,"No misidentification","hongkong"
2020-03-13,0.473345546559075,0.125517412349215,0.911887994502824,"Error 1","hongkong"
2020-03-14,0.077294406620295,3.4174695179006e-06,0.224422458484958,"Error 2","hongkong"
2020-03-14,0.0812727774960344,7.16917211956644e-05,0.24701285995477,"Error 1","hongkong"
2020-03-14,0.160681049789284,0.00340349002928144,0.382836115791753,"No misidentification","hongkong"
2020-03-15,0.0678711749778785,5.15485995705722e-05,0.205061258094103,"Error 2","hongkong"
2020-03-15,0.363079675716975,0.0791190080513132,0.686015251385875,"Error 1","hongkong"
2020-03-15,0.432987020649656,0.126870929271274,0.784027555868146,"No misidentification","hongkong"
2020-03-16,0.0671400170023464,5.26930899107519e-05,0.204901058225948,"Error 2","hongkong"
2020-03-16,0.523999150657322,0.195877593860037,0.872407839383103,"Error 1","hongkong"
2020-03-16,0.589463554562765,0.237267858236552,0.980953725291798,"No misidentification","hongkong"
2020-03-17,0.0590163592323358,5.50038924434226e-05,0.174493080421035,"Error 2","hongkong"
2020-03-17,0.679515416616988,0.321676167541783,1.07073445990508,"No misidentification","hongkong"
2020-03-17,0.741279924819183,0.356484154415434,1.13137256972443,"Error 1","hongkong"
2020-03-18,0.0477511266901634,1.40166665194563e-05,0.13959939563287,"Error 2","hongkong"
2020-03-18,0.611251642554704,0.300707554136462,0.949402202863098,"No misidentification","hongkong"
2020-03-18,0.709071971269114,0.351158474800274,1.06747145508061,"Error 1","hongkong"
2020-03-19,0.0402775942211272,3.46338797830069e-05,0.11752142994145,"Error 1","hongkong"
